year,season,ortg,oreb%,total_points,total_fg_miss,total_oreb,total_opp_dreb,total_off_poss,total_opp_ft_dreb,total_ftoreb,total_fgoreb,total_opp_fgdreb
2001,2000-01,1.0271433843125999,0.2994185006262301,225459,106799,33469,78311,219501,6229,963,32506,72082
2002,2001-02,1.0424667346207885,0.30457743327187126,227043,107252,34028,77694,217794,5762,1001,33027,71932
2003,2002-03,1.0327687641599064,0.30097244006273804,226102,107172,33581,77994,218928,5771,961,32620,72223
2004,2003-04,1.025378226525025,0.30283198905372316,222100,106548,33641,77447,216603,5967,994,32647,71480
2005,2004-05,1.0569755105649368,0.30356611403861977,239109,109191,34680,79562,226220,6557,1100,33580,73005
2006,2005-06,1.0608385639858462,0.291398620195323,238642,106147,32523,79087,224956,6897,1133,31390,72190
2007,2006-07,1.0650848914301752,0.2890973162486662,242899,106212,32241,79282,228056,6835,1059,31182,72447
2008,2007-08,1.074301822472794,0.2856652556915685,245811,108832,32461,81172,228810,6493,961,31500,74679
2009,2008-09,1.0818234616027667,0.2867683182821056,245879,107744,32104,79847,227282,5985,884,31220,73862
2010,2009-10,1.0777591681496215,0.2848084989402928,247100,108259,32117,80650,229272,6317,897,31220,74333
2011,2010-11,1.0747894475824324,0.2854729579543535,244894,108166,32108,80365,227853,6202,826,31282,74163
2012,2011-12,1.0463401645869133,0.2905096356029568,190594,89007,26803,65459,182153,4720,726,26077,60739
2013,2012-13,1.0590360705254285,0.2876273500682701,241223,110327,32862,81390,227776,5746,863,31999,75644
2014,2013-14,1.0680782655043757,0.2795184468702501,248482,111393,32366,83426,232644,6066,924,31442,77360
2015,2014-15,1.0587250632562784,0.27658524549716257,246035,113283,32509,85028,232388,6021,912,31597,79007
2016,2015-16,1.0665867130622793,0.26313565409937206,252572,113985,31135,87188,236804,6118,790,30345,81070
2017,2016-17,1.0928179863772713,0.2596771865474583,259753,114054,30584,87193,237691,5672,693,29891,81521
2018,2017-18,1.0927578370429785,0.2510164413095329,261580,114271,29573,88240,239376,5521,684,28889,82719
2019,2018-19,1.1096990617736655,0.25641843015129595,273573,118395,31371,90972,246529,5747,756,30615,85225
2020,2019-20,1.112040989804209,0.25166952871589393,236788,101566,26380,78440,212931,4920,626,25754,73520
2021,2020-21,1.1288084703644476,0.24902853442035888,242117,101962,26147,78849,214489,4649,554,25593,74200
2022,2021-22,1.1255025395827474,0.2594553643530891,272115,116792,31165,88952,241772,5247,687,30478,83705
2023,2022-23,1.1532898932256324,0.2659487806119851,282127,113959,31341,86505,244628,5620,759,30582,80885
2024,2023-24,1.157266485157283,0.2680311148354113,280960,114963,31666,86477,242779,5102,656,31010,81375
2025,2024-25,1.1483508144404746,0.27708091979697125,279953,116951,33245,86738,243787,5061,762,32483,81677
2026,2025-26,1.1615156393438262,0.2950020316944332,87303,35641,10890,26025,75163,1665,275,10615,24360
